language,topic_id,subtopic_id,title,source_url,word_count,text_preview,qa_relevant,qa_notes
en,B01,B01_S01,Legitime,https://en.wikipedia.org/wiki/Legitime,168,"In civil law and Roman law, the legitime (legitima portio), also known as a forced share or legal right share, of a decedent's estate is that portion of the estate from which they cannot disinherit their children, or their parents, without sufficient legal cause. The word comes from French héritier légitime, meaning ""rightful heir."" Scholars have noted that the concept was probably borrowed by the Romans from Greek law. The legitime is usually a statutory fraction of the decedent's gross estate ",,
en,B01,B01_S02,Labour hire (Australia),https://en.wikipedia.org/wiki/Labour_hire_(Australia),161,"In Australia, labour hire is referred to by the legal term of art labour hire arrangement, and it refers to the employment practice of an employer supplying its employees to another workplace, for profit. Labour hire arrangements often overlap with, but are distinct from the practice of temporary staffing. Labour hire arrangements are situations in which an employee has a legal employer, but no direct employment contract with the place of work. Companies that provide labour hire are often referr",,
en,B01,B01_S03,Income tax in Canada,https://en.wikipedia.org/wiki/Income_tax_in_Canada,269,"Income taxes constitute the majority of the annual revenues of the Government of Canada, and of the governments of the Provinces of Canada. In the fiscal year ending March 31, 2018, the federal government collected just over three times more revenue from personal income taxes than it did from corporate income taxes. Tax collection agreements enable different governments to levy taxes through a single administration and collection agency. The federal government collects personal income taxes on b",,
en,B01,B01_S04,Emergency Federal Register,https://en.wikipedia.org/wiki/Emergency_Federal_Register,321,"The Emergency Federal Register (EFR) is the planned replacement for the Federal Register, the official journal of the United States government, in the event publication of the Federal Register is suspended by presidential decree following the onset of a severe national calamity, such as a major nuclear attack or a mainland invasion of the United States. According to the Office of the Federal Register, the Emergency Federal Register ""can only be activated under extreme national security condition",,
en,B01,B01_S05,Lists of landmark court decisions,https://en.wikipedia.org/wiki/Lists_of_landmark_court_decisions,267,"Landmark court decisions, in present-day common law legal systems, establish precedents that determine a significant new legal principle or concept, or otherwise substantially affect the interpretation of existing law. ""Leading case"" is commonly used in the United Kingdom and other Commonwealth jurisdictions instead of ""landmark case"", as used in the United States. In Commonwealth countries, a reported decision is said to be a leading decision when it has come to be generally regarded as settlin",,
en,B02,B02_S01,Committee for a Responsible Federal Budget,https://en.wikipedia.org/wiki/Committee_for_a_Responsible_Federal_Budget,116,"The Committee for a Responsible Federal Budget (CRFB) is a nonprofit 501(c)(3) charitable organization and think tank headquartered in Washington, D.C., which advocates for public policy to reduce the federal budget deficit and lower government spending. The CRFB describes itself as ""nonpartisan"", as do many media outlets. The New York Times, more descriptively, said that the CFRB is a ""centrist business-supported group dedicated to lower deficits"". It was founded in 1981 by former United States",,
en,B02,B02_S02,Foreign policy,https://en.wikipedia.org/wiki/Foreign_policy,195,"Foreign policy, also known as external policy, is the set of strategies and actions a state employs in its interactions with other states, unions, and international entities. It encompasses a wide range of objectives, including defense and security, economic benefits, and humanitarian assistance. The formulation of foreign policy is influenced by various factors such as domestic considerations, the behavior of other states, and geopolitical strategies. Historically, the practice of foreign polic",,
en,B02,B02_S03,Political faction,https://en.wikipedia.org/wiki/Political_faction,117,"A political faction is a group of people with a common political purpose. More specifically, political faction denotes a subgroup of a political party, where the former may be distinguished by having one or more opinions or interests that differ from the latter's. Intra-party conflict between factions can lead to schism of the party into two or more political parties. The ley de lemas electoral system allows voters to indicate on the ballot their support for a specific faction of their preferenc",,
en,B02,B02_S04,Borough (New Jersey),https://en.wikipedia.org/wiki/Borough_(New_Jersey),166,"A borough (also spelled boro), in the context of local government in the U.S. state of New Jersey, is one of five types and one of eleven forms of municipal government (in addition to those established under a special charter). Among New Jersey's 564 municipalities, the borough is the most common form of local government, though the majority of state residents actually reside in townships. In 2023 there were 253 boroughs in New Jersey. However, boroughs were not always so common. In 1875 only 17",,
en,B03,B03_S01,Correspondence principle,https://en.wikipedia.org/wiki/Correspondence_principle,112,"In physics, a correspondence principle is any one of several premises or assertions about the relationship between classical and quantum mechanics. The physicist Niels Bohr coined the term in 1920 during the early development of quantum theory; he used it to explain how quantized classical orbitals connect to quantum radiation. Modern sources often use the term for the idea that the behavior of systems described by quantum theory reproduces classical physics in the limit of large quantum numbers",,
